Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
79,9.605,0,1.677,0.009,-0.206,1.664,0.306,-0.075,0.070,
80,9.671,0,1.676,0.009,-0.206,1.664,0.304,-0.075,0.070,
81,9.739,0,1.677,0.009,-0.206,1.664,0.304,-0.076,0.070,
82,9.805,0,1.677,0.009,-0.206,1.664,0.305,-0.075,0.070,
83,9.873,0,1.676,0.009,-0.206,1.663,0.305,-0.075,0.070,
84,9.940,0,1.676,0.009,-0.206,1.663,0.305,-0.073,0.070,
85,10.008,0,1.676,0.009,-0.206,1.663,0.304,-0.076,0.070,
86,10.088,0,1.676,0.008,-0.205,1.663,0.304,-0.077,0.070,
87,10.153,0,1.677,0.007,-0.205,1.664,0.311,-0.082,0.073,
88,10.221,0,1.675,0.001,-0.201,1.663,0.317,-0.073,0.071,
89,10.290,0,1.684,-0.007,-0.196,1.673,0.321,-0.066,0.069,
90,10.359,0,1.703,-0.020,-0.185,1.693,0.316,-0.055,0.063,
91,10.422,0,1.697,-0.035,-0.170,1.688,0.349,-0.042,0.057,
92,10.487,0,1.682,-0.049,-0.157,1.674,0.357,-0.028,0.051,
93,10.561,0,1.683,-0.062,-0.147,1.675,0.371,-0.017,0.046,
94,10.635,0,1.680,-0.076,-0.135,1.673,0.375,-0.007,0.040,
95,10.708,0,1.675,-0.089,-0.124,1.668,0.375,0.003,0.033,
96,10.777,0,1.672,-0.100,-0.112,1.665,0.373,0.014,0.028,
97,10.843,0,1.673,-0.110,-0.100,1.666,0.386,0.026,0.023,
98,10.912,0,1.665,-0.121,-0.089,1.658,0.396,0.034,0.020,
99,10.981,0,1.667,-0.132,-0.077,1.660,0.410,0.051,0.011,
100,11.047,0,1.669,-0.144,-0.066,1.662,0.410,0.064,0.003,
101,11.119,0,1.674,-0.156,-0.054,1.666,0.412,0.079,-0.003,
102,11.188,0,1.671,-0.170,-0.041,1.661,0.451,0.091,-0.008,
103,11.263,0,1.673,-0.183,-0.029,1.663,0.432,0.113,-0.016,
104,11.333,0,1.673,-0.194,-0.018,1.662,0.447,0.125,-0.019,
105,11.396,0,1.673,-0.205,-0.009,1.661,0.455,0.135,-0.024,
106,11.462,0,1.680,-0.218,0.002,1.666,0.462,0.147,-0.029,
107,11.530,0,1.677,-0.232,0.013,1.661,0.487,0.154,-0.039,
108,11.593,0,1.674,-0.246,0.024,1.655,0.483,0.172,-0.046,
109,11.658,0,1.674,-0.258,0.035,1.654,0.485,0.192,-0.055,
110,11.724,0,1.675,-0.272,0.049,1.652,0.501,0.205,-0.064,
111,11.803,0,1.684,-0.287,0.066,1.658,0.491,0.241,-0.076,
112,11.873,0,1.688,-0.300,0.082,1.659,0.509,0.267,-0.089,
113,11.944,0,1.685,-0.312,0.096,1.653,0.530,0.285,-0.099,
114,12.013,0,1.700,-0.328,0.112,1.665,0.526,0.308,-0.105,
115,12.086,0,1.704,-0.343,0.127,1.665,0.551,0.328,-0.118,
116,12.155,0,1.703,-0.359,0.142,1.658,0.566,0.348,-0.132,
117,12.224,0,1.694,-0.374,0.154,1.645,0.584,0.367,-0.144,
118,12.293,0,1.683,-0.384,0.166,1.630,0.590,0.395,-0.155,
119,12.370,0,1.687,-0.396,0.178,1.631,0.596,0.413,-0.161,
120,12.444,0,1.690,-0.409,0.191,1.629,0.612,0.431,-0.174,
121,12.514,0,1.701,-0.423,0.206,1.635,0.602,0.464,-0.181,
122,12.580,0,1.700,-0.432,0.220,1.629,0.624,0.487,-0.196,
123,12.648,0,1.697,-0.440,0.229,1.622,0.638,0.503,-0.208,
124,12.719,0,1.721,-0.450,0.236,1.645,0.642,0.507,-0.212,
125,12.792,0,1.743,-0.461,0.244,1.663,0.630,0.527,-0.213,
126,12.870,0,1.750,-0.473,0.260,1.665,0.644,0.550,-0.228,
127,12.945,0,1.743,-0.476,0.265,1.656,0.658,0.556,-0.237,
128,13.025,0,1.760,-0.488,0.278,1.668,0.656,0.583,-0.244,
129,13.103,0,1.766,-0.500,0.289,1.668,-0.147,-0.132,-0.069,
130,13.189,0,1.756,-0.498,0.287,1.659,0.674,0.606,-0.267,
131,13.264,0,1.783,-0.512,0.274,1.686,-0.104,-0.170,-0.077,
132,13.419,0,1.781,-0.515,0.243,1.687,0.650,0.556,-0.223,
133,13.569,0,1.764,-0.515,0.205,1.674,0.666,0.484,-0.193,
134,13.644,0,1.748,-0.511,0.192,1.660,0.687,0.440,-0.179,
135,13.721,0,1.746,-0.508,0.175,1.661,0.702,0.390,-0.148,
136,13.809,0,1.739,-0.504,0.166,1.656,0.700,0.376,-0.134,
137,13.881,0,1.734,-0.500,0.152,1.653,0.703,0.342,-0.110,
138,13.957,0,1.734,-0.499,0.145,1.655,0.699,0.327,-0.099,
139,14.039,0,1.736,-0.499,0.136,1.657,0.691,0.307,-0.084,
140,14.116,0,1.724,-0.494,0.120,1.648,0.695,0.275,-0.062,
141,14.193,0,1.728,-0.495,0.112,1.652,0.687,0.268,-0.053,
142,14.270,0,1.738,-0.497,0.094,1.663,0.680,0.228,-0.032,
143,14.349,0,1.744,-0.498,0.083,1.670,0.677,0.223,-0.025,
144,14.431,0,1.730,-0.489,0.063,1.658,-0.154,-0.080,0.028,
145,14.511,0,1.720,-0.481,0.045,1.651,-0.126,-0.089,0.033,
146,14.587,0,1.711,-0.477,0.038,1.643,-0.153,-0.086,0.033,
147,14.668,0,1.718,-0.477,0.030,1.651,-0.144,-0.094,0.032,
148,14.746,0,1.711,-0.475,0.013,1.644,-0.144,-0.097,0.029,
149,14.821,0,1.702,-0.473,0.006,1.634,-0.159,-0.091,0.030,
150,14.892,0,1.681,-0.468,0.002,1.614,-0.189,-0.086,0.027,
151,14.975,0,1.682,-0.465,0.002,1.616,-0.200,-0.082,0.026,
152,15.052,0,1.679,-0.448,0.003,1.619,-0.246,-0.072,0.023,
153,15.123,0,1.676,-0.436,0.003,1.618,-0.255,-0.068,0.022,
154,15.212,0,1.675,-0.426,0.002,1.620,-0.249,-0.072,0.017,
155,15.288,0,1.664,-0.402,-0.002,1.615,-0.270,-0.060,0.022,
156,15.359,0,1.663,-0.390,-0.004,1.616,-0.277,-0.066,0.021,
157,15.503,0,1.654,-0.347,-0.010,1.617,-0.282,-0.065,0.026,
158,15.580,0,1.649,-0.334,-0.011,1.615,-0.280,-0.066,0.026,
159,15.653,0,1.638,-0.309,-0.013,1.608,-0.290,-0.060,0.027,
160,15.730,0,1.634,-0.296,-0.013,1.607,-0.297,-0.056,0.027,
161,15.807,0,1.624,-0.271,-0.015,1.601,-0.301,-0.053,0.028,
162,15.957,0,1.618,-0.231,-0.016,1.602,0.599,0.034,0.035,
163,16.190,0,1.595,-0.181,-0.017,1.584,0.518,0.028,0.033,
164,16.276,0,1.594,-0.173,-0.017,1.585,0.506,0.032,0.030,
165,16.359,0,1.594,-0.156,-0.017,1.586,0.511,0.025,0.032,
166,16.440,0,1.590,-0.140,-0.018,1.584,0.472,0.040,0.028,
167,16.530,0,1.592,-0.125,-0.020,1.587,0.479,0.028,0.033,
168,16.635,0,1.587,-0.106,-0.019,1.584,0.482,0.028,0.034,
169,16.724,0,1.587,-0.088,-0.019,1.585,0.441,0.029,0.035,
170,16.819,0,1.587,-0.071,-0.020,1.585,0.457,0.019,0.036,
171,16.917,0,1.587,-0.047,-0.022,1.586,0.446,0.010,0.036,
172,17.007,0,1.578,-0.011,-0.024,1.578,0.452,0.001,0.035,
173,17.087,0,1.581,0.017,-0.031,1.581,0.421,-0.006,0.038,
174,17.166,0,1.580,0.042,-0.038,1.579,0.364,-0.009,0.038,
175,17.247,0,1.579,0.053,-0.040,1.578,0.327,-0.005,0.036,
176,17.322,0,1.581,0.070,-0.041,1.579,0.335,-0.009,0.035,
177,17.396,0,1.580,0.076,-0.042,1.577,0.313,-0.013,0.035,
178,17.480,0,1.577,0.088,-0.042,1.574,0.299,-0.012,0.034,
179,17.561,0,1.580,0.100,-0.042,1.576,0.320,-0.015,0.034,
180,17.644,0,1.575,0.119,-0.043,1.570,0.329,-0.017,0.032,
181,17.726,0,1.575,0.124,-0.043,1.570,0.332,-0.012,0.038,
182,18.133,0,1.572,-0.044,-0.038,1.571,0.452,0.005,0.043,
183,18.214,0,1.572,-0.068,-0.036,1.570,0.459,0.003,0.046,
184,18.298,0,1.571,-0.089,-0.035,1.568,0.462,0.010,0.043,
185,18.382,0,1.572,-0.105,-0.032,1.568,0.451,0.013,0.042,
