Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta
3.824,-0.010,0.200,13.530,-3.672,-56.870,-0.003,0.052,0.052,-87.098,
3.898,-0.030,0.198,14.856,-7.475,-55.830,-0.271,-0.027,0.273,5.686,
3.972,-0.028,0.198,14.601,-7.494,-56.015,0.026,0.004,0.026,8.443,
4.049,-0.025,0.198,13.951,-7.228,-56.463,0.044,-0.009,0.044,-11.592,
4.118,-0.026,0.197,14.109,-7.336,-56.331,-0.022,-0.003,0.022,7.435,
4.189,-0.029,0.199,14.220,-7.666,-56.195,-0.039,0.020,0.044,-26.397,
4.258,-0.031,0.199,14.096,-7.772,-56.213,-0.020,0.003,0.020,-8.190,
4.326,-0.033,0.200,14.112,-8.102,-56.089,-0.036,0.013,0.038,-19.488,
4.394,-0.033,0.200,14.149,-8.077,-56.130,0.001,0.002,0.002,66.992,
4.461,-0.033,0.201,14.136,-8.163,-56.085,0.001,0.017,0.017,87.059,
4.529,-0.030,0.205,14.261,-8.303,-56.024,0.042,0.054,0.068,52.271,
4.596,-0.035,0.205,14.074,-8.709,-55.805,-0.070,0.009,0.070,-7.657,
4.665,-0.030,0.205,14.238,-8.525,-55.939,0.064,-0.003,0.064,-2.853,
4.732,-0.029,0.205,14.378,-8.537,-55.924,0.017,-0.006,0.018,-18.640,
4.802,-0.032,0.206,14.634,-8.839,-55.659,-0.044,0.012,0.045,-15.824,
4.869,-0.033,0.205,14.307,-8.728,-55.616,-0.009,-0.003,0.009,15.730,
4.943,-0.030,0.204,14.416,-8.515,-55.727,0.037,-0.019,0.042,-26.523,
5.012,-0.030,0.203,14.816,-8.651,-55.694,0.008,-0.021,0.022,-69.275,
5.084,-0.032,0.203,14.649,-8.770,-55.574,-0.039,0.012,0.040,-17.542,
5.157,-0.032,0.204,14.502,-8.617,-55.650,-0.001,0.012,0.012,-87.608,
5.229,-0.032,0.205,14.699,-8.717,-55.669,0.008,0.008,0.011,46.472,
5.297,-0.035,0.205,14.392,-8.882,-55.573,-0.041,0.005,0.041,-6.699,
5.362,-0.037,0.204,15.172,-9.231,-55.391,-0.035,-0.017,0.039,26.760,
5.431,-0.040,0.203,14.312,-8.922,-55.463,-0.051,-0.021,0.055,23.025,
5.495,-0.041,0.203,14.415,-9.035,-55.465,-0.006,0.002,0.006,-18.449,
5.558,-0.046,0.203,14.877,-9.548,-55.288,-0.074,0.005,0.075,-3.633,
5.624,-0.046,0.201,13.921,-9.262,-55.681,-0.009,-0.029,0.030,72.994,
5.696,-0.043,0.198,14.038,-9.177,-56.026,0.040,-0.040,0.057,-44.739,
5.769,-0.042,0.198,14.400,-9.144,-56.095,0.024,-0.005,0.024,-11.572,
5.839,-0.042,0.199,14.386,-9.271,-55.993,-0.009,0.021,0.023,-66.579,
5.907,-0.041,0.200,14.566,-9.263,-55.967,0.019,0.014,0.024,35.948,
5.980,-0.040,0.201,14.648,-9.372,-56.036,0.016,0.004,0.017,13.739,
6.046,-0.034,0.200,15.168,-9.729,-56.650,0.082,-0.015,0.083,-10.477,
6.122,-0.005,0.191,10.946,-10.311,-61.706,0.386,-0.111,0.402,-16.009,
6.200,0.030,0.164,16.420,-11.401,-68.635,0.444,-0.357,0.570,-38.748,
6.358,0.112,0.076,20.019,-6.595,-86.720,0.517,-0.551,0.755,-46.809,
6.440,0.114,0.050,21.846,-2.815,-89.392,0.031,-0.321,0.322,-84.429,
6.658,-0.026,0.173,19.259,-2.443,1.513,-0.644,0.564,0.856,-41.236,
6.730,-0.001,0.166,21.877,-2.248,0.858,0.343,-0.091,0.354,-14.870,
6.802,0.024,0.157,20.993,-1.802,-0.488,0.344,-0.131,0.369,-20.852,
6.873,0.022,0.179,15.841,-1.869,1.088,-0.027,0.311,0.312,-84.955,
6.949,-0.003,0.189,20.196,-3.514,3.530,-0.331,0.126,0.354,-20.913,
7.019,-0.006,0.190,16.608,-2.380,3.375,-0.030,0.021,0.037,-34.433,
7.096,-0.009,0.190,15.840,-1.130,3.075,-0.047,0.003,0.047,-3.291,
7.179,-0.013,0.196,17.737,-2.756,3.455,-0.047,0.067,0.081,-54.746,
7.249,-0.019,0.201,16.453,-2.370,3.538,-0.085,0.077,0.114,-42.170,
7.316,-0.020,0.209,16.385,-3.023,3.962,-0.021,0.114,0.116,-79.384,
7.384,-0.023,0.214,17.222,-4.327,4.547,-0.040,0.077,0.087,-62.155,
7.448,-0.023,0.214,17.409,-4.321,4.415,-0.000,0.006,0.006,-87.752,
7.516,-0.023,0.214,17.286,-4.423,4.279,0.007,-0.011,0.013,-60.161,
7.590,-0.023,0.214,17.234,-4.533,4.174,0.001,0.006,0.006,82.600,
7.661,-0.022,0.213,17.412,-4.437,4.051,0.008,-0.016,0.018,-63.941,
7.730,-0.022,0.213,17.422,-4.474,4.051,0.002,-0.002,0.003,-44.128,
7.799,-0.022,0.212,17.437,-4.627,4.113,-0.004,-0.010,0.011,69.030,
7.871,-0.022,0.211,17.557,-4.495,4.072,0.003,-0.010,0.010,-74.735,
7.939,-0.022,0.211,17.372,-4.627,4.104,-0.004,-0.011,0.012,70.568,
8.008,-0.022,0.211,17.281,-4.660,4.087,-0.001,-0.001,0.002,32.724,
8.079,-0.022,0.210,17.350,-4.498,4.050,0.000,-0.007,0.007,-89.231,
8.143,-0.023,0.210,17.351,-4.639,4.050,-0.005,-0.004,0.007,40.907,
8.217,-0.023,0.210,17.314,-4.587,4.027,0.000,0.002,0.002,78.641,
8.287,-0.023,0.210,17.340,-4.690,4.028,0.000,-0.003,0.003,-88.801,
8.354,-0.023,0.210,17.393,-4.581,4.014,-0.008,0.000,0.008,-0.626,
8.424,-0.023,0.209,17.457,-4.509,3.993,-0.000,-0.009,0.009,86.967,
8.497,-0.024,0.209,17.448,-4.548,4.002,-0.005,-0.001,0.005,14.091,
8.567,-0.024,0.209,17.265,-4.430,3.988,-0.001,-0.001,0.002,41.714,
