Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta
8.633,-0.024,0.208,17.263,-4.596,4.017,-0.002,-0.009,0.009,75.061,
8.704,-0.024,0.208,17.254,-4.658,4.041,-0.004,-0.004,0.006,50.648,
8.769,-0.024,0.208,17.337,-4.546,4.041,0.003,-0.003,0.004,-49.518,
8.843,-0.024,0.207,17.410,-4.280,4.001,0.003,-0.006,0.007,-67.519,
8.913,-0.024,0.207,17.305,-4.341,4.017,0.001,-0.006,0.006,-81.910,
8.990,-0.024,0.206,17.246,-4.399,4.037,0.000,-0.009,0.009,-88.261,
9.055,-0.024,0.206,17.348,-4.399,4.048,0.000,-0.006,0.006,-86.778,
9.123,-0.024,0.205,17.436,-4.505,4.067,0.000,-0.006,0.006,-87.100,
9.192,-0.023,0.205,17.468,-4.349,4.014,0.005,-0.006,0.007,-49.146,
9.260,-0.023,0.205,17.507,-4.377,4.027,-0.001,-0.001,0.001,53.459,
9.325,-0.023,0.205,17.524,-4.333,4.021,0.002,0.001,0.003,28.248,
9.395,-0.023,0.205,17.540,-4.269,4.022,0.001,-0.001,0.001,-31.998,
9.462,-0.023,0.205,17.444,-4.307,4.007,0.000,-0.001,0.001,-77.872,
9.536,-0.023,0.205,17.480,-4.346,4.010,0.001,-0.004,0.004,-81.913,
9.605,-0.023,0.205,17.504,-4.317,4.011,0.001,-0.001,0.001,-57.693,
9.671,-0.023,0.205,17.445,-4.316,3.990,0.001,0.001,0.001,46.516,
9.739,-0.023,0.204,17.444,-4.370,4.018,-0.002,-0.001,0.002,25.186,
9.805,-0.023,0.205,17.453,-4.282,3.997,0.002,0.003,0.004,53.638,
9.873,-0.023,0.205,17.464,-4.302,4.003,0.000,0.001,0.001,68.137,
9.940,-0.023,0.205,17.471,-4.192,3.987,0.002,-0.000,0.002,-2.278,
10.008,-0.023,0.204,17.417,-4.378,4.018,-0.000,-0.005,0.005,88.535,
10.088,-0.023,0.204,17.438,-4.427,4.025,0.003,-0.002,0.003,-36.005,
10.153,-0.022,0.204,17.835,-4.714,4.164,0.009,-0.006,0.011,-31.141,
10.221,-0.016,0.200,18.153,-4.175,4.039,0.097,-0.058,0.113,-30.655,
10.290,-0.007,0.196,18.378,-3.798,3.957,0.129,-0.064,0.144,-26.219,
10.359,0.008,0.186,18.103,-3.138,3.581,0.213,-0.134,0.252,-32.159,
10.422,0.026,0.172,19.984,-2.409,3.266,0.278,-0.228,0.359,-39.441,
10.487,0.041,0.160,20.452,-1.613,2.914,0.229,-0.189,0.297,-39.564,
10.561,0.055,0.149,21.238,-0.992,2.649,0.200,-0.137,0.243,-34.474,
10.635,0.071,0.138,21.514,-0.413,2.288,0.210,-0.156,0.262,-36.585,
10.708,0.085,0.126,21.469,0.178,1.911,0.194,-0.156,0.250,-38.814,
10.777,0.096,0.115,21.376,0.775,1.607,0.165,-0.167,0.235,-45.341,
10.843,0.108,0.103,22.103,1.500,1.336,0.175,-0.181,0.252,-45.839,
10.912,0.119,0.092,22.704,1.967,1.121,0.165,-0.164,0.232,-44.923,
10.981,0.131,0.079,23.520,2.923,0.657,0.168,-0.187,0.251,-48.120,
11.047,0.144,0.066,23.491,3.661,0.157,0.199,-0.193,0.277,-44.115,
11.119,0.156,0.053,23.627,4.520,-0.188,0.165,-0.180,0.244,-47.561,
11.188,0.170,0.040,25.816,5.197,-0.460,0.209,-0.193,0.285,-42.776,
11.263,0.183,0.027,24.747,6.499,-0.920,0.176,-0.177,0.249,-45.251,
11.333,0.195,0.014,25.620,7.189,-1.098,0.159,-0.172,0.234,-47.106,
11.396,0.206,0.004,26.098,7.764,-1.368,0.173,-0.165,0.239,-43.592,
11.462,0.218,-0.009,26.488,8.424,-1.667,0.183,-0.195,0.267,-46.849,
11.530,0.232,-0.022,27.913,8.810,-2.215,0.203,-0.196,0.282,-43.992,
11.593,0.244,-0.035,27.701,9.859,-2.657,0.208,-0.208,0.294,-44.934,
11.658,0.256,-0.049,27.808,10.993,-3.155,0.178,-0.219,0.282,-50.989,
11.724,0.268,-0.067,28.710,11.761,-3.680,0.187,-0.266,0.325,-54.858,
11.803,0.281,-0.087,28.133,13.806,-4.332,0.164,-0.255,0.303,-57.281,
11.873,0.292,-0.109,29.189,15.274,-5.097,0.147,-0.307,0.340,-64.342,
11.944,0.301,-0.126,30.374,16.308,-5.646,0.134,-0.248,0.282,-61.592,
12.013,0.314,-0.145,30.137,17.624,-5.997,0.186,-0.273,0.330,-55.727,
12.086,0.326,-0.166,31.593,18.799,-6.780,0.160,-0.295,0.335,-61.495,
12.155,0.337,-0.188,32.402,19.963,-7.578,0.162,-0.305,0.345,-62.000,
12.224,0.348,-0.206,33.468,21.043,-8.276,0.158,-0.267,0.310,-59.476,
12.293,0.354,-0.223,33.818,22.613,-8.865,0.094,-0.248,0.265,-69.196,
12.370,0.362,-0.239,34.169,23.642,-9.209,0.104,-0.202,0.227,-62.741,
12.444,0.370,-0.259,35.038,24.720,-9.946,0.099,-0.270,0.288,-69.963,
12.514,0.379,-0.279,34.478,26.580,-10.370,0.133,-0.286,0.316,-64.979,
12.580,0.381,-0.300,35.729,27.886,-11.224,0.034,-0.320,0.322,-83.937,
12.648,0.383,-0.315,36.528,28.843,-11.909,0.026,-0.222,0.223,-83.379,
12.719,0.391,-0.325,36.767,29.061,-12.152,0.106,-0.148,0.182,-54.232,
12.792,0.399,-0.336,36.110,30.177,-12.207,0.114,-0.147,0.186,-52.223,
12.870,0.402,-0.360,36.893,31.532,-13.037,0.043,-0.308,0.311,-82.144,
12.946,0.401,-0.369,37.693,31.861,-13.592,-0.022,-0.120,0.122,79.427,
13.025,0.407,-0.387,37.613,33.431,-14.001,0.078,-0.230,0.242,-71.283,
13.103,0.479,-0.322,-8.444,-7.589,-3.937,0.922,0.824,1.236,41.801,
13.190,0.405,-0.409,38.626,34.732,-15.324,-0.865,-1.001,1.323,49.170,
13.264,0.490,-0.313,-5.961,-9.763,-4.391,1.134,1.285,1.713,48.572,
13.419,0.448,-0.351,37.230,31.862,-12.789,-0.266,-0.248,0.364,43.040,
13.569,0.466,-0.300,38.167,27.735,-11.068,0.122,0.343,0.364,70.458,
13.644,0.469,-0.280,39.374,25.232,-10.229,0.032,0.270,0.272,83.199,
13.721,0.477,-0.248,40.223,22.329,-8.482,0.106,0.412,0.426,75.621,
13.809,0.477,-0.232,40.088,21.561,-7.696,-0.001,0.184,0.184,-89.715,
13.881,0.481,-0.206,40.265,19.584,-6.328,0.051,0.352,0.356,81.752,
13.957,0.483,-0.193,40.037,18.751,-5.651,0.028,0.172,0.175,80.758,
14.039,0.485,-0.177,39.599,17.596,-4.816,0.032,0.190,0.193,80.468,
14.116,0.485,-0.150,39.846,15.773,-3.564,-0.004,0.349,0.349,-89.298,
14.193,0.488,-0.138,39.373,15.329,-3.040,0.041,0.163,0.168,75.966,
14.270,0.494,-0.110,38.940,13.052,-1.824,0.078,0.370,0.378,78.105,
14.349,0.496,-0.096,38.808,12.765,-1.458,0.017,0.170,0.171,84.428,
14.432,0.491,-0.049,-8.833,-4.588,1.610,-0.057,0.572,0.575,-84.305,
14.511,0.482,-0.029,-7.230,-5.088,1.870,-0.105,0.242,0.264,-66.546,
14.587,0.478,-0.022,-8.776,-4.947,1.865,-0.056,0.100,0.114,-60.602,
14.668,0.477,-0.015,-8.235,-5.396,1.818,-0.012,0.083,0.084,-82.036,
14.746,0.475,0.000,-8.239,-5.575,1.668,-0.032,0.201,0.203,-80.852,
14.821,0.473,0.008,-9.125,-5.224,1.693,-0.020,0.100,0.102,-78.975,
14.892,0.468,0.011,-10.843,-4.934,1.533,-0.069,0.040,0.080,-30.314,
14.975,0.465,0.010,-11.467,-4.717,1.471,-0.043,-0.009,0.044,11.869,
15.052,0.448,0.008,-14.084,-4.131,1.343,-0.220,-0.031,0.222,8.006,
15.123,0.436,0.006,-14.615,-3.875,1.233,-0.162,-0.019,0.163,6.731,
15.212,0.426,0.006,-14.268,-4.116,0.998,-0.115,-0.007,0.115,3.248,
15.288,0.402,0.011,-15.470,-3.462,1.267,-0.316,0.072,0.324,-12.906,
15.359,0.389,0.013,-15.853,-3.753,1.206,-0.177,0.020,0.178,-6.377,
15.503,0.347,0.019,-16.178,-3.719,1.503,-0.297,0.044,0.300,-8.351,
15.580,0.333,0.020,-16.044,-3.767,1.504,-0.174,0.014,0.175,-4.733,
15.653,0.309,0.021,-16.597,-3.430,1.569,-0.339,0.019,0.339,-3.131,
15.731,0.296,0.021,-17.031,-3.229,1.535,-0.166,-0.001,0.167,0.218,
15.808,0.270,0.022,-17.258,-3.022,1.586,-0.329,0.016,0.329,-2.737,
15.957,0.230,0.024,34.299,1.929,1.984,-0.269,0.010,0.269,-2.099,
16.190,0.180,0.023,29.678,1.593,1.873,-0.213,-0.005,0.213,1.423,
16.276,0.173,0.022,28.980,1.826,1.746,-0.092,-0.004,0.092,2.742,
16.359,0.156,0.022,29.275,1.449,1.833,-0.204,-0.004,0.204,1.154,
16.440,0.139,0.022,27.020,2.271,1.625,-0.204,0.005,0.204,-1.315,
16.531,0.124,0.024,27.426,1.578,1.899,-0.164,0.016,0.165,-5.565,
16.635,0.105,0.022,27.599,1.596,1.920,-0.183,-0.016,0.184,5.099,
16.724,0.087,0.022,25.255,1.656,2.025,-0.203,-0.005,0.203,1.321,
16.819,0.070,0.022,26.210,1.082,2.080,-0.182,0.007,0.182,-2.293,
16.917,0.046,0.024,25.562,0.584,2.071,-0.242,0.012,0.243,-2.872,
17.007,0.010,0.025,25.915,0.029,2.016,-0.403,0.011,0.403,-1.551,
17.087,-0.018,0.030,24.113,-0.322,2.162,-0.345,0.066,0.351,-10.879,
17.166,-0.043,0.036,20.859,-0.527,2.191,-0.319,0.081,0.329,-14.316,
17.247,-0.054,0.038,18.711,-0.289,2.044,-0.136,0.024,0.138,-10.056,
17.322,-0.071,0.038,19.219,-0.541,2.003,-0.230,0.002,0.230,-0.493,
17.396,-0.078,0.039,17.905,-0.723,1.992,-0.090,0.014,0.091,-8.968,
17.480,-0.089,0.039,17.144,-0.682,1.924,-0.132,-0.010,0.133,4.379,
17.561,-0.101,0.038,18.314,-0.883,1.940,-0.152,-0.005,0.152,1.871,
17.644,-0.120,0.039,18.849,-0.971,1.860,-0.226,0.012,0.226,-3.026,
17.726,-0.125,0.038,19.023,-0.661,2.191,-0.065,-0.015,0.067,13.007,
18.134,0.043,0.040,25.915,0.283,2.438,0.413,0.005,0.413,0.683,
18.214,0.066,0.039,26.326,0.165,2.653,0.292,-0.015,0.292,-2.958,
18.298,0.087,0.039,26.448,0.558,2.440,0.246,-0.001,0.246,-0.282,
18.382,0.103,0.036,25.818,0.743,2.435,0.196,-0.031,0.198,-8.981,
18.465,0.119,0.035,26.644,1.070,2.386,0.189,-0.017,0.190,-5.256,
18.556,0.132,0.033,26.549,1.201,2.464,0.146,-0.018,0.147,-7.000,
18.634,0.149,0.032,28.875,1.080,2.578,0.213,-0.011,0.213,-3.018,
18.710,0.157,0.031,28.056,1.505,2.372,0.111,-0.011,0.112,-5.611,
18.879,0.204,0.033,33.079,1.487,2.352,0.278,0.012,0.278,2.455,
18.979,0.216,0.035,32.060,1.149,2.551,0.113,0.019,0.115,9.353,
19.463,0.037,0.028,26.002,0.277,1.463,-0.368,-0.015,0.369,2.302,
19.562,0.014,0.029,24.417,0.447,1.290,-0.238,0.013,0.239,-3.029,
19.654,-0.009,0.030,23.807,0.453,1.107,-0.251,0.013,0.251,-2.875,
19.743,-0.030,0.031,21.943,-0.010,1.137,-0.231,0.006,0.231,-1.399,
19.828,-0.049,0.030,20.642,0.550,0.790,-0.227,-0.010,0.227,2.458,
19.907,-0.065,0.030,19.284,-0.090,0.933,-0.205,0.002,0.205,-0.620,
19.990,-0.081,0.031,19.061,-0.260,0.937,-0.194,0.007,0.194,-2.073,
20.071,-0.090,0.031,19.004,-0.071,0.909,-0.110,0.002,0.110,-0.899,
20.149,-0.107,0.031,17.014,-0.141,0.672,-0.211,0.004,0.211,-1.103,
20.226,-0.126,0.032,19.360,-0.695,0.548,-0.242,0.009,0.243,-2.152,
20.300,-0.136,0.032,17.994,-0.356,0.267,-0.149,0.007,0.149,-2.556,
20.372,-0.156,0.033,17.134,-1.337,0.343,-0.271,0.011,0.272,-2.388,
20.445,-0.168,0.035,17.826,-1.916,0.545,-0.164,0.029,0.167,-10.089,
20.607,-0.189,0.040,13.231,-0.650,0.755,-0.132,0.028,0.135,-11.818,
20.677,-0.184,0.058,5.600,1.039,0.802,0.074,0.257,0.268,73.966,
26.706,0.106,0.207,12.813,-2.242,-0.303,0.048,0.025,0.054,27.111,
26.792,0.096,0.190,21.185,-4.670,0.866,-0.120,-0.197,0.231,58.590,
26.896,0.098,0.192,22.084,-4.495,0.972,0.020,0.018,0.027,43.351,
26.994,0.100,0.193,22.030,-4.460,1.067,0.017,0.009,0.019,28.636,
27.101,0.096,0.200,21.562,-5.504,1.446,-0.033,0.067,0.075,-64.054,
27.194,0.094,0.204,21.381,-5.531,1.721,-0.020,0.038,0.043,-62.820,
27.267,0.089,0.207,21.405,-5.762,2.171,-0.070,0.045,0.083,-33.103,
27.367,0.087,0.205,21.550,-5.169,2.091,-0.020,-0.014,0.024,36.049,
27.476,0.087,0.204,21.356,-5.016,2.087,0.001,-0.016,0.016,-87.837,
27.566,0.089,0.201,21.491,-5.264,2.044,0.019,-0.028,0.034,-56.108,
27.659,0.089,0.201,21.527,-5.589,2.169,-0.002,-0.003,0.004,49.566,
27.750,0.090,0.201,21.513,-5.060,2.069,0.011,0.004,0.012,19.693,
27.835,0.099,0.217,20.142,-5.696,1.791,0.106,0.181,0.210,59.708,
27.913,0.107,0.204,23.023,-5.156,1.486,0.105,-0.158,0.190,-56.227,
27.989,0.114,0.202,22.266,-4.841,1.096,0.093,-0.033,0.099,-19.268,
28.065,0.121,0.195,24.369,-5.131,1.105,0.094,-0.092,0.131,-44.258,
28.137,0.125,0.194,22.943,-4.946,0.819,0.057,-0.018,0.060,-17.215,
28.207,0.125,0.195,22.521,-4.414,0.759,-0.013,0.021,0.025,-57.035,
28.270,0.125,0.196,22.781,-4.515,0.781,0.010,0.014,0.017,55.663,
28.337,0.124,0.197,21.931,-4.867,0.818,-0.020,0.020,0.029,-45.015,
28.405,0.123,0.190,19.732,-3.952,0.533,-0.008,-0.104,0.104,85.434,
28.475,0.121,0.188,22.685,-4.900,0.948,-0.026,-0.032,0.041,51.228,
28.548,0.119,0.190,22.831,-4.425,0.921,-0.033,0.021,0.039,-32.914,
28.625,0.119,0.190,22.870,-4.076,0.916,-0.002,0.001,0.002,-40.155,
28.712,0.122,0.190,23.627,-4.510,0.978,0.032,0.003,0.032,5.261,
28.797,0.125,0.188,23.142,-4.688,0.905,0.041,-0.021,0.046,-27.329,
28.871,0.128,0.186,22.701,-4.700,0.805,0.032,-0.026,0.041,-38.604,
28.941,0.127,0.184,23.296,-4.553,0.805,-0.011,-0.032,0.034,71.553,
29.011,0.125,0.183,23.254,-4.693,0.806,-0.026,-0.013,0.029,26.055,
29.078,0.124,0.183,22.986,-3.977,0.850,-0.016,-0.003,0.016,12.422,
29.152,0.125,0.183,23.161,-4.886,0.919,0.012,-0.000,0.012,-0.522,
29.225,0.125,0.182,23.127,-4.592,0.917,0.006,-0.006,0.009,-44.379,
29.293,0.126,0.183,22.978,-4.196,0.787,0.008,0.005,0.009,32.343,
29.368,0.123,0.183,22.866,-4.384,0.855,-0.042,0.009,0.043,-12.128,
29.440,0.122,0.184,22.822,-3.895,0.866,-0.005,0.002,0.006,-20.676,
29.518,0.122,0.183,23.189,-4.623,1.052,-0.007,-0.007,0.010,45.847,
29.589,0.121,0.185,23.165,-4.276,1.036,-0.009,0.023,0.024,-67.854,
29.657,0.127,0.199,22.572,-4.975,0.993,0.093,0.218,0.237,66.880,
29.726,0.125,0.199,23.102,-5.233,1.120,-0.032,-0.013,0.034,21.471,
29.804,0.120,0.197,22.904,-5.204,1.271,-0.068,-0.014,0.069,12.002,
29.870,0.123,0.195,22.334,-4.960,0.942,0.044,-0.032,0.055,-36.395,
29.944,0.121,0.195,22.864,-4.614,1.111,-0.022,-0.003,0.023,8.443,
30.018,0.122,0.196,22.957,-5.006,1.083,0.009,0.007,0.012,40.042,
30.103,0.124,0.195,22.739,-4.128,0.969,0.020,-0.005,0.020,-13.937,
30.179,0.123,0.197,22.676,-4.412,1.090,-0.008,0.020,0.021,-68.105,
30.246,0.123,0.199,22.956,-4.621,1.231,-0.005,0.032,0.032,-80.628,
30.309,0.122,0.200,22.751,-5.292,1.315,-0.013,0.015,0.020,-49.208,
30.376,0.121,0.200,22.855,-5.802,1.298,-0.007,0.005,0.008,-33.999,
30.451,0.122,0.199,20.689,-4.709,1.064,0.006,-0.014,0.015,-67.091,
30.540,0.119,0.195,23.371,-5.093,1.495,-0.028,-0.047,0.055,59.410,
30.623,0.121,0.194,22.521,-5.213,1.292,0.025,-0.010,0.027,-20.940,
30.691,0.121,0.192,22.916,-4.547,1.253,-0.010,-0.033,0.034,72.292,
30.761,0.125,0.202,22.583,-4.521,1.165,0.065,0.147,0.161,66.174,
30.825,0.124,0.200,22.703,-5.601,1.277,-0.019,-0.032,0.037,59.630,
30.895,0.127,0.197,22.937,-4.839,1.019,0.052,-0.035,0.062,-34.032,
30.969,0.127,0.199,22.958,-5.384,1.103,-0.002,0.017,0.017,-82.998,
31.045,0.126,0.198,23.090,-4.834,1.149,-0.014,-0.008,0.017,29.098,
31.110,0.127,0.198,22.908,-4.901,1.057,0.017,-0.006,0.018,-20.944,
31.182,0.127,0.198,22.987,-4.894,1.096,-0.004,0.001,0.004,-17.243,
31.253,0.127,0.198,23.100,-4.792,1.104,-0.004,0.000,0.004,-1.100,
31.324,0.126,0.198,22.820,-5.068,1.086,-0.006,0.000,0.006,-1.381,
31.386,0.123,0.187,22.975,-4.344,1.101,-0.049,-0.174,0.181,74.139,
31.471,0.123,0.188,22.305,-5.020,1.105,-0.007,0.010,0.012,-54.589,
31.551,0.123,0.186,22.690,-4.140,0.989,0.009,-0.024,0.026,-70.324,
31.646,0.123,0.185,22.824,-4.581,1.064,-0.006,-0.004,0.008,34.717,
31.735,0.121,0.187,22.825,-5.476,1.302,-0.018,0.019,0.026,-47.351,
31.820,0.121,0.188,22.741,-5.054,1.245,0.001,0.010,0.010,82.235,
31.908,0.120,0.188,22.915,-4.523,1.267,-0.011,-0.000,0.011,0.760,
31.992,0.122,0.189,22.351,-4.960,1.241,0.014,0.009,0.016,33.613,
32.059,0.124,0.201,22.882,-4.621,1.251,0.040,0.188,0.193,78.068,
32.124,0.124,0.209,19.900,-4.661,1.293,-0.004,0.120,0.121,-88.148,
32.194,0.125,0.213,23.809,-6.129,2.140,0.015,0.054,0.056,74.178,
32.268,0.131,0.209,24.538,-5.691,1.852,0.085,-0.055,0.102,-32.943,
32.355,0.147,0.202,23.253,-4.708,1.119,0.174,-0.084,0.193,-25.633,
32.675,0.355,-0.043,38.000,8.675,-6.059,0.650,-0.765,1.003,-49.648,
32.750,0.358,-0.047,-11.312,-5.355,-4.892,0.050,-0.046,0.068,-42.407,
32.821,0.355,-0.048,-11.784,-4.783,-4.827,-0.053,-0.020,0.057,20.267,
33.845,-0.454,0.176,12.922,-4.124,9.582,-0.790,0.219,0.820,-15.469,
33.915,-0.434,0.185,14.362,-2.860,8.690,0.295,0.136,0.325,24.812,
33.986,-0.430,0.186,13.217,-2.830,8.570,0.046,0.017,0.049,20.603,
34.063,-0.431,0.187,13.297,-2.863,9.113,-0.011,0.006,0.012,-30.638,
34.139,-0.423,0.185,13.499,-3.002,9.013,0.112,-0.027,0.115,-13.713,
34.216,-0.424,0.186,12.866,-3.174,9.124,-0.015,0.019,0.024,-51.697,
34.286,-0.424,0.186,13.102,-3.287,9.300,-0.002,-0.001,0.002,32.045,
34.355,-0.422,0.187,13.209,-3.500,9.284,0.024,0.014,0.028,31.162,
34.421,-0.425,0.188,13.136,-3.406,9.400,-0.038,0.014,0.040,-20.351,
34.498,-0.424,0.188,13.180,-3.562,9.388,0.013,-0.007,0.015,-28.316,
34.572,-0.422,0.187,13.097,-3.474,9.272,0.026,-0.010,0.028,-20.672,
34.652,-0.423,0.186,13.177,-3.456,9.276,-0.007,-0.008,0.010,46.674,
34.721,-0.422,0.185,13.041,-3.316,9.194,0.012,-0.014,0.018,-50.331,
34.790,-0.419,0.184,13.265,-3.391,9.119,0.035,-0.022,0.041,-32.293,
34.865,-0.420,0.184,13.340,-3.621,9.132,-0.002,0.002,0.003,-45.745,
34.935,-0.420,0.184,13.199,-3.463,9.056,-0.004,0.003,0.005,-39.319,
35.019,-0.418,0.183,13.665,-4.076,9.026,0.017,-0.009,0.019,-27.919,
35.091,-0.418,0.183,13.852,-4.642,8.951,0.010,-0.003,0.011,-14.996,
35.159,-0.417,0.185,13.674,-5.264,8.664,0.014,0.024,0.027,59.354,
35.234,-0.409,0.185,14.206,-8.105,7.910,0.100,-0.000,0.100,-0.211,
35.317,-0.396,0.190,13.758,-8.783,6.440,0.157,0.060,0.168,20.961,
35.401,-0.389,0.190,13.348,-9.237,5.675,0.084,0.008,0.084,5.179,
35.482,-0.389,0.191,13.545,-10.150,5.741,-0.002,0.002,0.003,-48.416,
35.552,-0.388,0.190,13.326,-10.403,5.699,0.020,-0.015,0.025,-35.686,
35.620,-0.387,0.187,13.436,-10.453,5.885,0.006,-0.030,0.031,-78.881,
35.692,-0.389,0.188,13.368,-10.520,5.991,-0.016,0.001,0.016,-4.146,
35.766,-0.390,0.188,13.567,-10.274,6.182,-0.015,-0.000,0.015,1.763,
35.838,-0.390,0.187,13.586,-10.363,6.272,0.002,-0.001,0.002,-26.247,
35.907,-0.388,0.188,13.828,-10.339,6.254,0.021,0.007,0.022,18.045,
